productName,productPrice,seller,city,unitSold,rating
baso cuanki instan,Rp15.000,5limashop,Bandung,250+ terjual,4.9
Kering Kentang Soto Rasa Original Gurih Cap Jajanan Eyang Wiwiek 100gr - Original 80gr,Rp21.000,Deababy dan Jajanan Eyang Wiwiek,Jakarta Selatan,500+ terjual,4.9
Seblak Bapper Bikin Nagih Parah Extra Mie Kuning 120gr,Rp19.700,Gerai Snack Official Shop,Kab. Tangerang,60+ terjual,4.9
Kerupuk seblak 100 gram Pedas bumbu berlimpah,Rp8.000,RIKI STORE 97,Kab. Bogor,1 terjual,4.0
Kerupuk Kering 250g Bahan Seblak Variasi Lengkap by GG,Rp5.500,gaiagarut,Kab. Garut,60+ terjual,5.0
kerupuk mix 250 gram campuran seblak,Rp7.399,ArfaOnlineShop,Tangerang,80+ terjual,5.0
TEMPAT TOPING SEBLAK PRASMANAN,Rp650.000,Fajar Akrilik Display,Kab. Tangerang,,
"Kylafood Paket (Seblak cup, Seblak rempah, Basreng pedas, Basreng ori)",Rp49.140,kylafood,Bandung,23 terjual,4.8
Cuanki Kriboow Goreng Selera Martini - Cuanki Instan,Rp14.500,,,70+ terjual,4.9
Cuanki Kriboow Selera Martini - Cuanki Instan,Rp13.485,,,250+ terjual,4.9
Baso Aci Kriboow Special Keju Selera Martini,Rp27.900,,,100+ terjual,4.9
"pangsit segitiga, cipet isi 40 pcs topping baso aci dan seblak",Rp13.500,Culametan Food,Kab. Garut,,5.0
Basreng Pedas Cikruh Seblak Bantet Cikruh Daun Jeruk Kemasan Ekonomis,Rp3.000,Bang Bana,Kab. Malang,500+ terjual,4.9
"siomay mini,  gurilem cimol pangsit 500 gram toping baso aci seblak",Rp13.500,Culametan Food,Kab. Garut,23 terjual,4.3
Cekelin basreng - asin daunjeruk,Rp5.550,Khay N khai,Bekasi,250+ terjual,4.9
Gurilem Sangarrr,Rp13.000,The Little Snacks,Tangerang Selatan,2rb+ terjual,4.7
Kerupuk Sebring Seblak Kering Terlaris,Rp8.000,Radikamahesa,Kab. Bandung,1 terjual,5.0
KERUPUK SEBLAK RAFAEL KERING BANTAT PEDES DAUN JERUK 250gr,Rp18.000,AyundaSnack,Bandung,100+ terjual,4.9
Kerupuk Seblak Kering mawar dan seblak kencur Pedas Daun Jeruk 100,Rp9.000,AHLI CAKE,Semarang,1 terjual,5.0
SEBLAK KERUPUK BETON / KERUPUK JAAT CIKRUH PEDAS DAUN JERUK 100GR KHAS BANDUNG,Rp9.500,snackmama_medan,Medan,2 terjual,5.0
kerupuk seblak cikur,Rp15.500,U snack,Bogor,30+ terjual,4.8
Pasar Keripik Cimol Seblak Pedas size Kecil 130g,Rp12.500,,,500+ terjual,4.9
Keripik Batagor Pangsit Original Tidak Pedas 250g,Rp29.500,,,500+ terjual,4.9
Pasar Keripik Kerupuk Bawang Pedas size Besar,Rp24.500,,,250+ terjual,5.0
Mamafuji - Seblak Instan viral (DUTA SEBLAK APPROVED),Rp24.839,Mama Fuji Official,Tangerang,100+ terjual,4.8
Kerupuk Bawang Warna Putih Dan Orange 500Gram Seblak Nasi Uduk Dll - Putih,Rp13.250,Distributor-Jaya,Tangerang,100+ terjual,4.8
Kerupuk Bawang Warna 5 Kg (BALL) Kerupuk Seblak / Kerupuk Mentah / Ker,Rp86.300,Distributor Topping Baso Aci,Bandung,6 terjual,5.0
Kylafood Seblak Cup,Rp14.000,Kylafood Jakarta,Jakarta Selatan,250+ terjual,4.9
Seblak Instan Premium Bangsatria,Rp21.000,Foodstocks,Jakarta Selatan,50+ terjual,5.0
Kylafood Mix Pentol Kuah dan Seblak Original,Rp50.000,kylafood,Bandung,70+ terjual,4.9
(PROMO MURAH) Seblak instan jajanan khas bandung by karoppotta,Rp8.380,karoppotta official,Makassar,100+ terjual,4.9
Seblak Basranger,Rp15.300,Khayla BeautyShop,Kab. Bekasi,50+ terjual,5.0
Kerupuk Seblak Mentah 200gram,Rp5.400,Sayurku Co.,Malang,26 terjual,5.0
150pcs SIOMAY Cuanki Kering Pelengkap Boci seblak dan cuanki,Rp42.000,lahawelah,Kab. Garut,100+ terjual,5.0
cuanki tahu kering seblak isi 50 pcs toping seblak baso aci,Rp12.500,,,750+ terjual,4.9
cuanki tahu gepeng isi 50 pcs toping seblak baso aci,Rp19.500,,,100+ terjual,5.0
pangsit segitiga kering atau cipet isi 100 toping seblak baso aci,Rp32.999,,,100+ terjual,4.9
Paket Isi 6 Cuanki Instan Lakoca | Latagor | Seblak | Makaroni,Rp93.840,Lakoca Official Shop,Cimahi,50+ terjual,4.9
kerupuk seblak pedas/kerupuk jablai 100gram,Rp8.000,Warung Snackk,Tangerang,16 terjual,5.0
Kerupuk Bawang Prima / Kerupuk Warna Warni / Krupuk Seblak 250gr,Rp11.750,food Service Ingredients,Jakarta Timur,2 terjual,5.0
Baso urat djuara sami raos/Baso Aci Urat /Seblak,Rp28.000,Snack Zone Official,Jakarta Selatan,19 terjual,5.0
Kerupuk Bawang Prima / Kerupuk Warna Warni / Krupuk Seblak 5kg,Rp170.000,food Service Ingredients,Jakarta Timur,,
seblak kering / seblak kerupuk krupuk putih bawang pedas / murah enak,Rp7.000,Jagoicip,Jakarta Pusat,7 terjual,5.0
cuanki/cuankie lidah isi 50 pcs khas Garut baso Aci/boci/seblak,Rp13.599,ArfaOnlineShop,Tangerang,90+ terjual,4.9
Seblak Ceker pedas ( 1 pak isi 20 pcs 200g ),Rp9.500,Eve'O'Mall,Kab. Tangerang,29 terjual,5.0
Krupuk Seblak Kering Rasa Original Renyah Pedas 100GR,Rp4.000,Wholesaler Snack co,Kab. Bandung,14 terjual,3.7
seblak instan KSN frozen,Rp10.500,Pelangi Girls Naget 2,Depok,100+ terjual,5.0
"siomay mini,  gurilem cimol pangsit 500 gram toping baso aci seblak",Rp13.500,,,23 terjual,4.3
"pangsit segitiga, cipet isi 40 pcs topping baso aci dan seblak",Rp13.500,,,10 terjual,5.0
"pangsit segitiga, cipet isi 100 pcs topping baso aci dan seblak",Rp30.999,,,2 terjual,
cuanki tahu kering seblak atau batagor kering isi 150 pcs,Rp32.999,CUANKI CULAMETAN,Kab. Garut,250+ terjual,4.8
PAKET SEBLAK INSTAN ISI 10pcs LEBIH MURAH,Rp28.500,BANDUNG SNACK CENTER.ID,Kab. Bandung,1 terjual,5.0
"Cuanki Lidah Bulat/ Tahu Geprek Isi 100 Pcs Toping Baso Aci, Mie Tan, Seblak",Rp80.150,Jein Lary,Jakarta Pusat,,
Kylafood paket 2 Seblak cup + 2 Seblak rempah autentik,Rp48.240,kylafood,Bandung,24 terjual,4.9
Paket Seblak 10  Bungkus Makanan Tan Murah Halal,Rp32.999,Jein Lary,Jakarta Pusat,,
Cuanki Tahu Keriting Panjang Topping Baso Aci / Seblak Khas Garut,Rp14.999,Pedas Gilaa,Surabaya,250+ terjual,5.0
Seblak Kerupuk Kering Pedas Daun Jeruk isi 100 gr Seblak Kerupuk Mawar,Rp5.000,seblak csc,Kab. Bandung,12 terjual,
KERUPUK SEBLAK SAMBAL KRUPUK KERITING KECIL Mentah Krupuk Seblak Rafae,Rp8.300,Uai Food,Surabaya,5 terjual,5.0
SEBLAK KERUPUK POTATO,Rp7.000,ngenyooh_snack,Kab. Garut,13 terjual,5.0
Krupuk Jablay Pedes Gurih / Krupuk Koin Pedes Gila / Krupuk Seblak Gurih Pedes / Krupuk Pedes Gurih @ 40g,Rp5.499,RR_Store.1,Tangerang,,
